Text	Label
Tôi nghỉ vì lý do cá nhân, chăm sóc gia đình	Cá nhân
Tôi không hòa hợp với đồng nghiệp	Mâu thuẫn
Công việc không phù hợp với chuyên môn của tôi	Công việc
Tôi phải chuyển nhà và không thể tiếp tục làm việc	Cá nhân
Công việc quá áp lực khiến tôi mệt mỏi	Công việc
Mâu thuẫn với cấp trên khiến tôi nghỉ việc	Mâu thuẫn
Công việc hiện tại không còn thử thách	Công việc
Tôi muốn dành thời gian cho con cái	Cá nhân
Tôi và sếp thường xuyên bất đồng quan điểm	Mâu thuẫn
Tôi quyết định nghỉ việc vì lý do cá nhân, gia đình có vấn đề.	Cá nhân
Tôi không thể làm việc với các đồng nghiệp, nên tôi nghỉ việc.	Mâu thuẫn
Công việc không đáp ứng kỳ vọng của tôi, tôi quyết định nghỉ.	Công việc
Tôi nghỉ vì lý do gia đình, phải chăm sóc cha mẹ	Cá nhân
Tôi không đồng ý với cách quản lý trong công ty	Mâu thuẫn
Môi trường làm việc không thân thiện, tôi không thể tiếp tục	Mâu thuẫn
Tôi muốn thay đổi môi trường làm việc để phát triển bản thân	Cá nhân
Công việc không có cơ hội thăng tiến nên tôi quyết định nghỉ	Công việc
Thời gian làm việc không phù hợp với lịch sinh hoạt của tôi	Cá nhân
Tôi không được đánh giá đúng năng lực và đóng góp	Công việc
Áp lực công việc làm tôi stress và ảnh hưởng sức khỏe	Công việc
Tôi muốn tập trung phát triển sự nghiệp riêng của mình	Cá nhân
Công việc yêu cầu đi lại nhiều làm tôi khó khăn trong cuộc sống	Công việc
Tôi cảm thấy bị đối xử không công bằng trong công ty	Mâu thuẫn
Mức lương hiện tại không đáp ứng nhu cầu cuộc sống của tôi	Công việc
Tôi có dự định học thêm và không thể vừa học vừa làm	Cá nhân
Tôi không phù hợp với phong cách làm việc của đội nhóm	Mâu thuẫn
Tôi quyết định nghỉ để tìm kiếm cơ hội mới tốt hơn	Cá nhân
Công việc không mang lại cảm hứng và động lực cho tôi	Công việc
Tôi không cảm thấy gắn bó với văn hóa công ty	Mâu thuẫn
Công ty thay đổi chính sách khiến tôi không hài lòng và nghỉ	Công việc
Tôi muốn dành thời gian chăm sóc sức khỏe của bản thân	Cá nhân
Tôi cảm thấy công việc hiện tại không phù hợp với sở thích cá nhân	Cá nhân
Môi trường làm việc thiếu sự hỗ trợ và thân thiện	Mâu thuẫn
Tôi muốn thử thách bản thân ở lĩnh vực mới	Công việc
Tôi gặp khó khăn trong việc cân bằng giữa công việc và cuộc sống cá nhân	Cá nhân
Quy trình làm việc không rõ ràng và gây nhiều áp lực	Công việc
Tôi không đồng thuận với cách quản lý của cấp trên	Mâu thuẫn
Tôi cần thời gian để tập trung vào sức khỏe tinh thần	Cá nhân
Công việc yêu cầu di chuyển nhiều khiến tôi mệt mỏi	Công việc
Tôi không nhận được sự công nhận xứng đáng từ công ty	Mâu thuẫn
Tôi muốn phát triển kỹ năng mới ngoài công việc hiện tại	Cá nhân
Áp lực công việc ảnh hưởng đến chất lượng cuộc sống của tôi	Công việc
Tôi không hài lòng với chế độ đãi ngộ và phúc lợi của công ty	Mâu thuẫn
Tôi muốn dành thời gian cho gia đình và người thân	Cá nhân
Công việc không phù hợp với mục tiêu nghề nghiệp dài hạn của tôi	Công việc
Tôi gặp khó khăn trong việc thích nghi với văn hóa công ty	Mâu thuẫn
Tôi muốn tìm kiếm môi trường làm việc năng động hơn	Cá nhân
Công việc hiện tại không mang lại cơ hội học hỏi và phát triển	Công việc
Tôi không cảm thấy gắn bó với đồng nghiệp và tập thể	Mâu thuẫn
Tôi cần thời gian để hoàn thành các dự án cá nhân quan trọng	Cá nhân
Công việc có nhiều thay đổi khiến tôi khó thích nghi	Công việc
Tôi không được hỗ trợ đầy đủ trong công việc hàng ngày	Mâu thuẫn
Tôi muốn có thời gian để theo đuổi đam mê cá nhân	Cá nhân
Công việc không đáp ứng được kỳ vọng về thu nhập của tôi	Công việc
Tôi cảm thấy bị áp lực bởi môi trường cạnh tranh không lành mạnh	Mâu thuẫn
Tôi cần nghỉ việc để chuyển sang công việc phù hợp hơn với sức khỏe	Cá nhân
Công việc yêu cầu làm thêm giờ nhiều làm tôi mệt mỏi	Công việc
Tôi không đồng ý với các chính sách mới của công ty	Mâu thuẫn
Tôi muốn thay đổi công việc để có sự cân bằng cuộc sống tốt hơn	Cá nhân
Tôi không thấy cơ hội thăng tiến rõ ràng trong công ty	Công việc
